.git,109.55247149104252
Dexter,131.18491089716554
ShadowBot_Sep2008,136.23395584290847
ShadowBotv3_March2007,135.53770292410627
NullBot_Dec2006,177.73643683129922
Alina,189.78633153019473
DopeBot.A_Dec2004,263.14214923698455
DopeBot.B_Dec2004,276.3130257758312
DopeBotv0.22_CrippledFeb2007,294.0402927910909
DopeBotv0.22_UnCrippled_Feb2007,314.5520209176466
W32.MyDoom.A,449.6752586970106
Grum,459.26467824121937
DBotv3.1_March2007,642.3903898820281
NBot_July2008,1885.242021755781
Athena,3005.1322885230184
HellBotv3.0_10June2005,5429.191731133033
xTBot0.0.2_2Feb2002,9356.29901431501
Win32.Mirai,15458.976221966557
Win32.Mirai.2016,26475.30356390914
CyberBotv2.2_October2006,34939.859632676
AryanRAT_March2010,36871.697669020854
LoexBot1.3_Sep2008,42200.96592129022
LiquidBot_May2005,49667.91262219241
X0R-USB_Jan2009,77709.78595121298
Win32.LoexBot1.3,97328.79450024338
rBot0.3.3_May2004,221495.25037854165
Carberp,1048795.4745751861
